date,time,home_team,home_goals,away_goals,away_team,home_odds,draw_odds,away_odds,result,first_choice_odds,second_choice_odds,third_choice_odds,winning_odds,home_returns,draw_returns,away_returns,first_choice_returns,second_choice_returns,third_choice_returns,home_returns_running_total,draw_returns_running_total,away_returns_running_total,first_choice_returns_running_total,second_choice_returns_running_total,third_choice_returns_running_total,random_choice_1,random_choice_1_returns,random_choice_1_running_balance
2023-08-04,20:00:00,Sheffield Wed,1,2,Southampton,3.13,3.34,2.27,away_win,2.27,3.13,3.34,2.27,-10.0,-10.0,12.7,12.7,-10.0,-10.0,-10.0,-10.0,12.7,12.7,-10.0,-10.0,home_win,-10.0,-10.0
2023-08-05,15:00:00,Blackburn,2,1,West Brom,2.86,3.2,2.51,home_win,2.51,2.86,3.2,2.86,18.6,-10.0,-10.0,-10.0,18.6,-10.0,8.6,-20.0,2.7,2.7,8.6,-20.0,away_win,-10.0,-20.0
2023-08-05,15:00:00,Bristol City,1,1,Preston,2.09,3.3,3.59,draw,2.09,3.3,3.59,3.3,-10.0,23.0,-10.0,-10.0,23.0,-10.0,-1.4,3.0,-7.3,-7.3,31.6,-30.0,away_win,-10.0,-30.0
2023-08-05,15:00:00,Middlesbrough,0,1,Millwall,2.15,3.3,3.43,away_win,2.15,3.3,3.43,3.43,-10.0,-10.0,24.3,-10.0,-10.0,24.3,-11.4,-7.0,17.0,-17.3,21.6,-5.7,away_win,24.3,-5.7
2023-08-05,15:00:00,Watford,4,0,QPR,1.8,3.59,4.42,home_win,1.8,3.59,4.42,1.8,8.0,-10.0,-10.0,8.0,-10.0,-10.0,-3.4,-17.0,7.0,-9.3,11.6,-15.7,home_win,8.0,2.3
2023-08-05,15:00:00,Plymouth,3,1,Huddersfield,2.29,3.34,3.08,home_win,2.29,3.08,3.34,2.29,12.9,-10.0,-10.0,12.9,-10.0,-10.0,9.5,-27.0,-3.0,3.6,1.6,-25.7,home_win,12.9,15.2
2023-08-05,15:00:00,Swansea,1,1,Birmingham,1.87,3.48,4.16,draw,1.87,3.48,4.16,3.48,-10.0,24.8,-10.0,-10.0,24.8,-10.0,-0.5,-2.2,-13.0,-6.4,26.4,-35.7,home_win,-10.0,5.2
2023-08-05,15:00:00,Norwich,2,1,Hull,1.78,3.69,4.49,home_win,1.78,3.69,4.49,1.78,7.8,-10.0,-10.0,7.8,-10.0,-10.0,7.3,-12.2,-23.0,1.4,16.4,-45.7,draw,-10.0,-4.8
2023-08-05,15:00:00,Stoke,4,1,Rotherham,1.66,3.75,5.3,home_win,1.66,3.75,5.3,1.66,6.6,-10.0,-10.0,6.6,-10.0,-10.0,13.9,-22.2,-33.0,8.0,6.4,-55.7,home_win,6.6,1.8
2023-08-06,12:00:00,Leicester,2,1,Coventry,1.8,3.69,4.32,home_win,1.8,3.69,4.32,1.8,8.0,-10.0,-10.0,8.0,-10.0,-10.0,21.9,-32.2,-43.0,16.0,-3.6,-65.7,draw,-10.0,-8.2
2023-08-06,14:30:00,Leeds,2,2,Cardiff,1.45,4.51,6.73,draw,1.45,4.51,6.73,4.51,-10.0,35.1,-10.0,-10.0,35.1,-10.0,11.9,2.9,-53.0,6.0,31.5,-75.7,draw,35.1,26.9
2023-08-06,17:00:00,Sunderland,1,2,Ipswich,2.88,3.35,2.41,away_win,2.41,2.88,3.35,2.41,-10.0,-10.0,14.1,14.1,-10.0,-10.0,1.9,-7.1,-38.9,20.1,21.5,-85.7,home_win,-10.0,16.9
2023-08-12,15:00:00,Birmingham,1,0,Leeds,3.28,3.29,2.23,home_win,2.23,3.28,3.29,3.28,22.8,-10.0,-10.0,-10.0,22.8,-10.0,24.7,-17.1,-48.9,10.1,44.3,-95.7,home_win,22.8,39.7
2023-08-12,15:00:00,Cardiff,1,2,QPR,1.86,3.5,4.06,away_win,1.86,3.5,4.06,4.06,-10.0,-10.0,30.6,-10.0,-10.0,30.6,14.7,-27.1,-18.3,0.1,34.3,-65.1,home_win,-10.0,29.7
2023-08-12,15:00:00,Huddersfield,0,1,Leicester,3.89,3.68,1.89,away_win,1.89,3.68,3.89,1.89,-10.0,-10.0,8.9,8.9,-10.0,-10.0,4.7,-37.1,-9.4,9.0,24.3,-75.1,away_win,8.9,38.6
2023-08-12,15:00:00,Hull,4,2,Sheffield Wed,2.4,3.22,2.97,home_win,2.4,2.97,3.22,2.4,14.0,-10.0,-10.0,14.0,-10.0,-10.0,18.7,-47.1,-19.4,23.0,14.3,-85.1,draw,-10.0,28.6
2023-08-12,15:00:00,Millwall,0,1,Bristol City,1.89,3.45,4.18,away_win,1.89,3.45,4.18,4.18,-10.0,-10.0,31.8,-10.0,-10.0,31.8,8.7,-57.1,12.4,13.0,4.3,-53.3,home_win,-10.0,18.6
