date,time,home_team,home_goals,away_goals,away_team,home_odds,draw_odds,away_odds,result,first_choice_odds,second_choice_odds,third_choice_odds,winning_odds,home_returns,draw_returns,away_returns,first_choice_returns,second_choice_returns,third_choice_returns,home_returns_running_total,draw_returns_running_total,away_returns_running_total,first_choice_returns_running_total,second_choice_returns_running_total,third_choice_returns_running_total,random_choice_1,random_choice_1_returns,random_choice_1_running_balance
2023-08-05,15:00:00,Wycombe,0,3,Exeter,2.11,3.45,3.36,away_win,2.11,3.36,3.45,3.36,-10.0,-10.0,23.6,-10.0,23.6,-10.0,-10.0,-10.0,23.6,-10.0,23.6,-10.0,home_win,-10.0,-10.0
2023-08-05,15:00:00,Barnsley,7,0,Port Vale,1.78,3.59,4.53,home_win,1.78,3.59,4.53,1.78,7.8,-10.0,-10.0,7.8,-10.0,-10.0,-2.2,-20.0,13.6,-2.2,13.6,-20.0,home_win,7.8,-2.2
2023-08-05,15:00:00,Blackpool,2,0,Burton,1.7,3.88,4.67,home_win,1.7,3.88,4.67,1.7,7.0,-10.0,-10.0,7.0,-10.0,-10.0,4.8,-30.0,3.6,4.8,3.6,-30.0,draw,-10.0,-12.2
2023-08-05,15:00:00,Bolton,3,0,Lincoln,1.73,3.55,4.92,home_win,1.73,3.55,4.92,1.73,7.3,-10.0,-10.0,7.3,-10.0,-10.0,12.1,-40.0,-6.4,12.1,-6.4,-40.0,home_win,7.3,-4.9
2023-08-05,15:00:00,Cambridge Utd,2,0,Oxford Utd,3.25,3.3,2.21,home_win,2.21,3.25,3.3,3.25,22.5,-10.0,-10.0,-10.0,22.5,-10.0,34.6,-50.0,-16.4,2.1,16.1,-50.0,away_win,-10.0,-14.9
2023-08-05,15:00:00,Carlisle,1,1,Fleetwood,2.35,3.16,3.08,draw,2.35,3.08,3.16,3.16,-10.0,21.6,-10.0,-10.0,-10.0,21.6,24.6,-28.4,-26.4,-7.9,6.1,-28.4,home_win,-10.0,-24.9
2023-08-05,15:00:00,Shrewsbury,1,0,Cheltenham,2.29,3.22,3.26,home_win,2.29,3.22,3.26,2.29,12.9,-10.0,-10.0,12.9,-10.0,-10.0,37.5,-38.4,-36.4,5.0,-3.9,-38.4,draw,-10.0,-34.9
2023-08-05,15:00:00,Derby,1,2,Wigan,1.59,3.92,5.68,away_win,1.59,3.92,5.68,5.68,-10.0,-10.0,46.8,-10.0,-10.0,46.8,27.5,-48.4,10.4,-5.0,-13.9,8.4,home_win,-10.0,-44.9
2023-08-05,15:00:00,Northampton,0,1,Stevenage,2.69,3.08,2.72,away_win,2.69,2.72,3.08,2.72,-10.0,-10.0,17.2,-10.0,17.2,-10.0,17.5,-58.4,27.6,-15.0,3.3,-1.6,away_win,17.2,-27.7
2023-08-05,15:00:00,Portsmouth,1,1,Bristol Rovers,2.04,3.51,3.5,draw,2.04,3.5,3.51,3.51,-10.0,25.1,-10.0,-10.0,-10.0,25.1,7.5,-33.3,17.6,-25.0,-6.7,23.5,draw,25.1,-2.6
2023-08-05,15:00:00,Reading,0,1,Peterborough,2.89,3.43,2.36,away_win,2.36,2.89,3.43,2.36,-10.0,-10.0,13.6,13.6,-10.0,-10.0,-2.5,-43.3,31.2,-11.4,-16.7,13.5,home_win,-10.0,-12.6
2023-08-05,15:00:00,Charlton,1,0,Leyton Orient,2.18,3.37,3.23,home_win,2.18,3.23,3.37,2.18,11.8,-10.0,-10.0,11.8,-10.0,-10.0,9.3,-53.3,21.2,0.4,-26.7,3.5,draw,-10.0,-22.6
2023-08-12,15:00:00,Bristol Rovers,1,1,Barnsley,3.2,3.35,2.21,draw,2.21,3.2,3.35,3.35,-10.0,23.5,-10.0,-10.0,-10.0,23.5,-0.7,-29.8,11.2,-9.6,-36.7,27.0,draw,23.5,0.9
2023-08-12,15:00:00,Burton,0,3,Derby,4.03,3.55,1.88,away_win,1.88,3.55,4.03,1.88,-10.0,-10.0,8.8,8.8,-10.0,-10.0,-10.7,-39.8,20.0,-0.8,-46.7,17.0,home_win,-10.0,-9.1
2023-08-12,15:00:00,Cheltenham,0,3,Bolton,4.23,3.43,1.87,away_win,1.87,3.43,4.23,1.87,-10.0,-10.0,8.7,8.7,-10.0,-10.0,-20.7,-49.8,28.7,7.9,-56.7,7.0,home_win,-10.0,-19.1
2023-08-12,15:00:00,Exeter,0,0,Blackpool,2.24,3.33,3.21,draw,2.24,3.21,3.33,3.33,-10.0,23.3,-10.0,-10.0,-10.0,23.3,-30.7,-26.5,18.7,-2.1,-66.7,30.3,home_win,-10.0,-29.1
2023-08-12,15:00:00,Fleetwood,0,2,Cambridge Utd,2.2,3.29,3.3,away_win,2.2,3.29,3.3,3.3,-10.0,-10.0,23.0,-10.0,-10.0,23.0,-40.7,-36.5,41.7,-12.1,-76.7,53.3,away_win,23.0,-6.1
2023-08-12,15:00:00,Leyton Orient,0,4,Portsmouth,3.02,3.18,2.4,away_win,2.4,3.02,3.18,2.4,-10.0,-10.0,14.0,14.0,-10.0,-10.0,-50.7,-46.5,55.7,1.9,-86.7,43.3,home_win,-10.0,-16.1
2023-08-12,15:00:00,Lincoln,3,0,Wycombe,2.41,3.21,2.97,home_win,2.41,2.97,3.21,2.41,14.1,-10.0,-10.0,14.1,-10.0,-10.0,-36.6,-56.5,45.7,16.0,-96.7,33.3,draw,-10.0,-26.1
