date,time,home_team,home_goals,away_goals,away_team,home_odds,draw_odds,away_odds,result,first_choice_odds,second_choice_odds,third_choice_odds,winning_odds,home_returns,draw_returns,away_returns,first_choice_returns,second_choice_returns,third_choice_returns,home_returns_running_total,draw_returns_running_total,away_returns_running_total,first_choice_returns_running_total,second_choice_returns_running_total,third_choice_returns_running_total,random_choice_1,random_choice_1_returns,random_choice_1_running_balance
2023-08-05,15:00:00,Wrexham,3,5,MK Dons,1.72,3.73,4.69,away_win,1.72,3.73,4.69,4.69,-10.0,-10.0,36.9,-10.0,-10.0,36.9,-10.0,-10.0,36.9,-10.0,-10.0,36.9,draw,-10.0,-10.0
2023-08-05,15:00:00,Crawley,1,0,Bradford City,3.78,3.49,1.93,home_win,1.93,3.49,3.78,3.78,27.8,-10.0,-10.0,-10.0,-10.0,27.8,17.8,-20.0,26.9,-20.0,-20.0,64.7,away_win,-10.0,-20.0
2023-08-05,15:00:00,Crewe,2,2,Mansfield,4.01,3.63,1.84,draw,1.84,3.63,4.01,3.63,-10.0,26.3,-10.0,-10.0,26.3,-10.0,7.8,6.3,16.9,-30.0,6.3,54.7,home_win,-10.0,-30.0
2023-08-05,15:00:00,Doncaster,0,1,Harrogate,2.33,3.26,3.04,away_win,2.33,3.04,3.26,3.04,-10.0,-10.0,20.4,-10.0,20.4,-10.0,-2.2,-3.7,37.3,-40.0,26.7,44.7,home_win,-10.0,-40.0
2023-08-05,15:00:00,Forest Green,0,2,Salford,2.92,3.35,2.33,away_win,2.33,2.92,3.35,2.33,-10.0,-10.0,13.3,13.3,-10.0,-10.0,-12.2,-13.7,50.6,-26.7,16.7,34.7,draw,-10.0,-50.0
2023-08-05,15:00:00,Tranmere,1,2,Barrow,2.5,3.1,2.93,away_win,2.5,2.93,3.1,2.93,-10.0,-10.0,19.3,-10.0,19.3,-10.0,-22.2,-23.7,69.9,-36.7,36.0,24.7,away_win,19.3,-30.7
2023-08-05,15:00:00,Grimsby,0,0,AFC Wimbledon,2.03,3.35,3.66,draw,2.03,3.35,3.66,3.35,-10.0,23.5,-10.0,-10.0,23.5,-10.0,-32.2,-0.2,59.9,-46.7,59.5,14.7,away_win,-10.0,-40.7
2023-08-05,15:00:00,Morecambe,2,1,Walsall,2.63,3.18,2.69,home_win,2.63,2.69,3.18,2.63,16.3,-10.0,-10.0,16.3,-10.0,-10.0,-15.9,-10.2,49.9,-30.4,49.5,4.7,home_win,16.3,-24.4
2023-08-05,15:00:00,Stockport County,0,1,Gillingham,1.65,3.58,5.54,away_win,1.65,3.58,5.54,5.54,-10.0,-10.0,45.4,-10.0,-10.0,45.4,-25.9,-20.2,95.3,-40.4,39.5,50.1,home_win,-10.0,-34.4
2023-08-05,15:00:00,Sutton,5,1,Notts Co,3.68,3.62,1.94,home_win,1.94,3.62,3.68,3.68,26.8,-10.0,-10.0,-10.0,-10.0,26.8,0.9,-30.2,85.3,-50.4,29.5,76.9,home_win,26.8,-7.6
2023-08-05,15:00:00,Accrington,3,0,Newport,2.42,3.26,2.91,home_win,2.42,2.91,3.26,2.42,14.2,-10.0,-10.0,14.2,-10.0,-10.0,15.1,-40.2,75.3,-36.2,19.5,66.9,away_win,-10.0,-17.6
2023-08-12,15:00:00,AFC Wimbledon,1,1,Wrexham,3.23,3.42,2.15,draw,2.15,3.23,3.42,3.42,-10.0,24.2,-10.0,-10.0,-10.0,24.2,5.1,-16.0,65.3,-46.2,9.5,91.1,away_win,-10.0,-27.6
2023-08-12,15:00:00,Barrow,2,1,Sutton,2.23,3.11,3.4,home_win,2.23,3.11,3.4,2.23,12.3,-10.0,-10.0,12.3,-10.0,-10.0,17.4,-26.0,55.3,-33.9,-0.5,81.1,home_win,12.3,-15.3
2023-08-12,15:00:00,Bradford City,2,1,Colchester,1.84,3.45,4.3,home_win,1.84,3.45,4.3,1.84,8.4,-10.0,-10.0,8.4,-10.0,-10.0,25.8,-36.0,45.3,-25.5,-10.5,71.1,home_win,8.4,-6.9
2023-08-12,15:00:00,Gillingham,1,0,Accrington,1.93,3.37,3.98,home_win,1.93,3.37,3.98,1.93,9.3,-10.0,-10.0,9.3,-10.0,-10.0,35.1,-46.0,35.3,-16.2,-20.5,61.1,away_win,-10.0,-16.9
2023-08-12,15:00:00,Harrogate,0,1,Forest Green,2.48,3.3,2.79,away_win,2.48,2.79,3.3,2.79,-10.0,-10.0,17.9,-10.0,17.9,-10.0,25.1,-56.0,53.2,-26.2,-2.6,51.1,away_win,17.9,1.0
2023-08-12,15:00:00,Mansfield,3,0,Morecambe,1.54,4.2,5.63,home_win,1.54,4.2,5.63,1.54,5.4,-10.0,-10.0,5.4,-10.0,-10.0,30.5,-66.0,43.2,-20.8,-12.6,41.1,draw,-10.0,-9.0
2023-08-12,15:00:00,MK Dons,1,0,Tranmere,1.76,3.64,4.5,home_win,1.76,3.64,4.5,1.76,7.6,-10.0,-10.0,7.6,-10.0,-10.0,38.1,-76.0,33.2,-13.2,-22.6,31.1,draw,-10.0,-19.0
2023-08-12,15:00:00,Newport,4,0,Doncaster,2.01,3.38,3.67,home_win,2.01,3.38,3.67,2.01,10.1,-10.0,-10.0,10.1,-10.0,-10.0,48.2,-86.0,23.2,-3.1,-32.6,21.1,home_win,10.1,-8.9
2023-08-12,15:00:00,Notts Co,3,2,Grimsby,1.69,3.95,4.54,home_win,1.69,3.95,4.54,1.69,6.9,-10.0,-10.0,6.9,-10.0,-10.0,55.1,-96.0,13.2,3.8,-42.6,11.1,draw,-10.0,-18.9
2023-08-12,15:00:00,Salford,1,1,Crawley,1.51,4.29,6.1,draw,1.51,4.29,6.1,4.29,-10.0,32.9,-10.0,-10.0,32.9,-10.0,45.1,-63.1,3.2,-6.2,-9.7,1.1,away_win,-10.0,-28.9
2023-08-12,15:00:00,Swindon,2,2,Crewe,1.8,3.6,4.29,draw,1.8,3.6,4.29,3.6,-10.0,26.0,-10.0,-10.0,26.0,-10.0,35.1,-37.1,-6.8,-16.2,16.3,-8.9,away_win,-10.0,-38.9
2023-08-12,15:00:00,Walsall,2,1,Stockport County,3.57,3.18,2.13,home_win,2.13,3.18,3.57,3.57,25.7,-10.0,-10.0,-10.0,-10.0,25.7,60.8,-47.1,-16.8,-26.2,6.3,16.8,home_win,25.7,-13.2
2023-08-15,19:45:00,Accrington,1,1,Barrow,2.46,3.19,2.92,draw,2.46,2.92,3.19,3.19,-10.0,21.9,-10.0,-10.0,-10.0,21.9,50.8,-25.2,-26.8,-36.2,-3.7,38.7,home_win,-10.0,-23.2
2023-08-15,19:45:00,Colchester,0,2,AFC Wimbledon,2.36,3.18,3.07,away_win,2.36,3.07,3.18,3.07,-10.0,-10.0,20.7,-10.0,20.7,-10.0,40.8,-35.2,-6.1,-46.2,17.0,28.7,away_win,20.7,-2.5
2023-08-15,19:45:00,Crawley,2,1,MK Dons,3.24,3.36,2.19,home_win,2.19,3.24,3.36,3.24,22.4,-10.0,-10.0,-10.0,22.4,-10.0,63.2,-45.2,-16.1,-56.2,39.4,18.7,home_win,22.4,19.9
2023-08-15,19:45:00,Crewe,4,2,Newport,3.07,3.37,2.26,home_win,2.26,3.07,3.37,3.07,20.7,-10.0,-10.0,-10.0,20.7,-10.0,83.9,-55.2,-26.1,-66.2,60.1,8.7,draw,-10.0,9.9
2023-08-15,19:45:00,Doncaster,2,2,Mansfield,4.15,3.55,1.84,draw,1.84,3.55,4.15,3.55,-10.0,25.5,-10.0,-10.0,25.5,-10.0,73.9,-29.7,-36.1,-76.2,85.6,-1.3,draw,25.5,35.4
2023-08-15,19:45:00,Wrexham,4,2,Walsall,1.72,3.82,4.57,home_win,1.72,3.82,4.57,1.72,7.2,-10.0,-10.0,7.2,-10.0,-10.0,81.1,-39.7,-46.1,-69.0,75.6,-11.3,draw,-10.0,25.4
2023-08-15,19:45:00,Grimsby,2,0,Salford,2.65,3.29,2.63,home_win,2.63,2.65,3.29,2.65,16.5,-10.0,-10.0,-10.0,16.5,-10.0,97.6,-49.7,-56.1,-79.0,92.1,-21.3,away_win,-10.0,15.4
2023-08-15,19:45:00,Morecambe,0,0,Notts Co,3.96,3.81,1.82,draw,1.82,3.81,3.96,3.81,-10.0,28.1,-10.0,-10.0,28.1,-10.0,87.6,-21.6,-66.1,-89.0,120.2,-31.3,away_win,-10.0,5.4
2023-08-15,19:45:00,Stockport County,1,1,Bradford City,1.88,3.4,4.25,draw,1.88,3.4,4.25,3.4,-10.0,24.0,-10.0,-10.0,24.0,-10.0,77.6,2.4,-76.1,-99.0,144.2,-41.3,home_win,-10.0,-4.6
2023-08-15,19:45:00,Sutton,0,1,Gillingham,2.44,3.08,3.06,away_win,2.44,3.06,3.08,3.06,-10.0,-10.0,20.6,-10.0,20.6,-10.0,67.6,-7.6,-55.5,-109.0,164.8,-51.3,draw,-10.0,-14.6
2023-08-15,19:45:00,Tranmere,3,0,Harrogate,2.1,3.38,3.46,home_win,2.1,3.38,3.46,2.1,11.0,-10.0,-10.0,11.0,-10.0,-10.0,78.6,-17.6,-65.5,-98.0,154.8,-61.3,away_win,-10.0,-24.6
2023-08-15,19:45:00,Forest Green,1,2,Swindon,2.69,3.31,2.57,away_win,2.57,2.69,3.31,2.57,-10.0,-10.0,15.7,15.7,-10.0,-10.0,68.6,-27.6,-49.8,-82.3,144.8,-71.3,away_win,15.7,-8.9
2023-08-19,15:00:00,Crewe,2,2,Walsall,2.54,3.38,2.65,draw,2.54,2.65,3.38,3.38,-10.0,23.8,-10.0,-10.0,-10.0,23.8,58.6,-3.8,-59.8,-92.3,134.8,-47.5,home_win,-10.0,-18.9
2023-08-19,15:00:00,Accrington,2,1,Harrogate,2.09,3.38,3.41,home_win,2.09,3.38,3.41,2.09,10.9,-10.0,-10.0,10.9,-10.0,-10.0,69.5,-13.8,-69.8,-81.4,124.8,-57.5,home_win,10.9,-8.0
2023-08-19,15:00:00,Colchester,2,3,MK Dons,2.73,3.2,2.57,away_win,2.57,2.73,3.2,2.57,-10.0,-10.0,15.7,15.7,-10.0,-10.0,59.5,-23.8,-54.1,-65.7,114.8,-67.5,home_win,-10.0,-18.0
