date,time,home_team,home_goals,away_goals,away_team,home_odds,draw_odds,away_odds,result,first_choice_odds,second_choice_odds,third_choice_odds,winning_odds,home_returns,draw_returns,away_returns,first_choice_returns,second_choice_returns,third_choice_returns,home_returns_running_total,draw_returns_running_total,away_returns_running_total,first_choice_returns_running_total,second_choice_returns_running_total,third_choice_returns_running_total,random_choice_1,random_choice_1_returns,random_choice_1_running_balance
2023-08-11,20:00,Burnley,0,3,Manchester City,9.48,5.34,1.32,away_win,1.32,5.34,9.48,1.32,-10.0,-10.0,3.2,3.2,-10.0,-10.0,-10.0,-10.0,3.2,3.2,-10.0,-10.0,away_win,3.2,3.2
2023-08-12,17:30,Newcastle,5,1,Aston Villa,1.64,4.06,5.17,home_win,1.64,4.06,5.17,1.64,6.4,-10.0,-10.0,6.4,-10.0,-10.0,-3.6,-20.0,-6.8,9.6,-20.0,-20.0,draw,-10.0,-6.8
2023-08-12,15:00,Bournemouth,1,1,West Ham,2.65,3.49,2.58,draw,2.58,2.65,3.49,3.49,-10.0,24.9,-10.0,-10.0,-10.0,24.9,-13.6,4.9,-16.8,-0.4,-30.0,4.9,home_win,-10.0,-16.8
2023-08-12,12:30,Arsenal,2,1,Nottingham,1.18,7.24,15.14,home_win,1.18,7.24,15.14,1.18,1.8,-10.0,-10.0,1.8,-10.0,-10.0,-11.8,-5.1,-26.8,1.4,-40.0,-5.1,draw,-10.0,-26.8
2023-08-12,15:00,Everton,0,1,Fulham,2.31,3.25,3.23,away_win,2.31,3.23,3.25,3.23,-10.0,-10.0,22.3,-10.0,22.3,-10.0,-21.8,-15.1,-4.5,-8.6,-17.7,-15.1,draw,-10.0,-36.8
2023-08-12,15:00,Brighton,4,1,Luton,1.27,5.93,11.3,home_win,1.27,5.93,11.3,1.27,2.7,-10.0,-10.0,2.7,-10.0,-10.0,-19.1,-25.1,-14.5,-5.9,-27.7,-25.1,draw,-10.0,-46.8
2023-08-12,15:00,Sheffield Utd,0,1,Crystal Palace,3.7,3.13,2.17,away_win,2.17,3.13,3.7,2.17,-10.0,-10.0,11.7,11.7,-10.0,-10.0,-29.1,-35.1,-2.8,5.8,-37.7,-35.1,away_win,11.7,-35.1
2023-08-13,14:00,Brentford,2,2,Tottenham,2.55,3.5,2.67,draw,2.55,2.67,3.5,3.5,-10.0,25.0,-10.0,-10.0,-10.0,25.0,-39.1,-10.1,-12.8,-4.2,-47.7,-10.1,away_win,-10.0,-45.1
2023-08-13,16:30,Chelsea,1,1,Liverpool,3.05,3.67,2.23,draw,2.23,3.05,3.67,3.67,-10.0,26.7,-10.0,-10.0,-10.0,26.7,-49.1,16.6,-22.8,-14.2,-57.7,16.6,away_win,-10.0,-55.1
2023-08-14,20:00,Manchester Utd,1,0,Wolves,1.26,5.91,11.34,home_win,1.26,5.91,11.34,1.26,2.6,-10.0,-10.0,2.6,-10.0,-10.0,-46.5,6.6,-32.8,-11.6,-67.7,6.6,draw,-10.0,-65.1
2023-08-18,19:45,Nottingham,2,1,Sheffield Utd,1.92,3.39,4.29,home_win,1.92,3.39,4.29,1.92,9.2,-10.0,-10.0,9.2,-10.0,-10.0,-37.3,-3.4,-42.8,-2.4,-77.7,-3.4,away_win,-10.0,-75.1
2023-08-19,15:00,Wolves,1,4,Brighton,4.18,3.98,1.79,away_win,1.79,3.98,4.18,1.79,-10.0,-10.0,7.9,7.9,-10.0,-10.0,-47.3,-13.4,-34.9,5.5,-87.7,-13.4,away_win,7.9,-67.2
2023-08-19,15:00,Liverpool,3,1,Bournemouth,1.2,7.38,12.6,home_win,1.2,7.38,12.6,1.2,2.0,-10.0,-10.0,2.0,-10.0,-10.0,-45.3,-23.4,-44.9,7.5,-97.7,-23.4,away_win,-10.0,-77.2
2023-08-19,15:00,Fulham,0,3,Brentford,2.8,3.17,2.64,away_win,2.64,2.8,3.17,2.64,-10.0,-10.0,16.4,16.4,-10.0,-10.0,-55.3,-33.4,-28.5,23.9,-107.7,-33.4,away_win,16.4,-60.8
