date,time,home_team,home_goals,away_goals,away_team,home_odds,draw_odds,away_odds,result,first_choice_odds,second_choice_odds,third_choice_odds,winning_odds,home_returns,draw_returns,away_returns,first_choice_returns,second_choice_returns,third_choice_returns,home_returns_running_total,draw_returns_running_total,away_returns_running_total,first_choice_returns_running_total,second_choice_returns_running_total,third_choice_returns_running_total,random_choice_1,random_choice_1_returns,random_choice_1_running_balance
2023-08-11,20:00,Nice,1,1,Lille,2.5,3.34,2.8,draw,2.5,2.8,3.34,3.34,-10.0,23.4,-10.0,-10.0,-10.0,23.4,-10.0,23.4,-10.0,-10.0,-10.0,23.4,away_win,-10.0,-10.0
2023-08-12,16:00,Marseille,2,1,Reims,1.88,3.63,4.01,home_win,1.88,3.63,4.01,1.88,8.8,-10.0,-10.0,8.8,-10.0,-10.0,-1.2,13.4,-20.0,-1.2,-20.0,13.4,away_win,-10.0,-20.0
2023-08-12,20:00,PSG,0,0,Lorient,1.38,4.78,7.97,draw,1.38,4.78,7.97,4.78,-10.0,37.8,-10.0,-10.0,37.8,-10.0,-11.2,51.2,-30.0,-11.2,17.8,3.4,home_win,-10.0,-30.0
2023-08-13,19:45,Strasbourg,2,1,Lyon,2.47,3.51,2.72,home_win,2.47,2.72,3.51,2.47,14.7,-10.0,-10.0,14.7,-10.0,-10.0,3.5,41.2,-40.0,3.5,7.8,-6.6,home_win,14.7,-15.3
2023-08-13,16:05,Rennes,5,1,Metz,1.6,4.13,5.33,home_win,1.6,4.13,5.33,1.6,6.0,-10.0,-10.0,6.0,-10.0,-10.0,9.5,31.2,-50.0,9.5,-2.2,-16.6,home_win,6.0,-9.3
2023-08-13,12:00,Brest,3,2,Lens,3.59,3.24,2.12,home_win,2.12,3.24,3.59,3.59,25.9,-10.0,-10.0,-10.0,-10.0,25.9,35.4,21.2,-60.0,-0.5,-12.2,9.3,away_win,-10.0,-19.3
2023-08-13,14:00,Montpellier,2,2,Le Havre,1.72,3.62,5.06,draw,1.72,3.62,5.06,3.62,-10.0,26.2,-10.0,-10.0,26.2,-10.0,25.4,47.4,-70.0,-10.5,14.0,-0.7,home_win,-10.0,-29.3
2023-08-13,14:00,Clermont,2,4,Monaco,3.0,3.44,2.31,away_win,2.31,3.0,3.44,2.31,-10.0,-10.0,13.1,13.1,-10.0,-10.0,15.4,37.4,-56.9,2.6,4.0,-10.7,draw,-10.0,-39.3
2023-08-13,14:00,Nantes,1,2,Toulouse,2.92,3.37,2.39,away_win,2.39,2.92,3.37,2.39,-10.0,-10.0,13.9,13.9,-10.0,-10.0,5.4,27.4,-43.0,16.5,-6.0,-20.7,away_win,13.9,-25.4
2023-08-18,20:00,Metz,2,2,Marseille,4.6,3.92,1.73,draw,1.73,3.92,4.6,3.92,-10.0,29.2,-10.0,-10.0,29.2,-10.0,-4.6,56.6,-53.0,6.5,23.2,-30.7,draw,29.2,3.8
