date,time,home_team,home_goals,away_goals,away_team,home_odds,draw_odds,away_odds,result,first_choice_odds,second_choice_odds,third_choice_odds,winning_odds,home_returns,draw_returns,away_returns,first_choice_returns,second_choice_returns,third_choice_returns,home_returns_running_total,draw_returns_running_total,away_returns_running_total,first_choice_returns_running_total,second_choice_returns_running_total,third_choice_returns_running_total,random_choice_1,random_choice_1_returns,random_choice_1_running_balance
2023-08-19,17:30:00,Frosinone,1,3,Napoli,6.23,4.28,1.52,away_win,1.52,4.28,6.23,1.52,-10.0,-10.0,5.2,5.2,-10.0,-10.0,-10.0,-10.0,5.2,5.2,-10.0,-10.0,away_win,5.2,5.2
2023-08-19,19:45:00,Genoa,1,4,Fiorentina,3.2,3.22,2.34,away_win,2.34,3.2,3.22,2.34,-10.0,-10.0,13.4,13.4,-10.0,-10.0,-20.0,-20.0,18.6,18.6,-20.0,-20.0,home_win,-10.0,-4.8
2023-08-19,17:30:00,Empoli,0,1,Verona,2.26,3.3,3.24,away_win,2.26,3.24,3.3,3.24,-10.0,-10.0,22.4,-10.0,22.4,-10.0,-30.0,-30.0,41.0,8.6,2.4,-30.0,draw,-10.0,-14.8
2023-08-19,19:45:00,Inter,2,0,Monza,1.39,4.9,7.79,home_win,1.39,4.9,7.79,1.39,3.9,-10.0,-10.0,3.9,-10.0,-10.0,-26.1,-40.0,31.0,12.5,-7.6,-40.0,away_win,-10.0,-24.8
2023-08-20,19:45:00,Lecce,2,1,Lazio,3.7,3.22,2.12,home_win,2.12,3.22,3.7,3.7,27.0,-10.0,-10.0,-10.0,-10.0,27.0,0.9,-50.0,21.0,2.5,-17.6,-13.0,away_win,-10.0,-34.8
2023-08-20,17:30:00,Sassuolo,0,2,Atalanta,3.29,3.55,2.15,away_win,2.15,3.29,3.55,2.15,-10.0,-10.0,11.5,11.5,-10.0,-10.0,-9.1,-60.0,32.5,14.0,-27.6,-23.0,away_win,11.5,-23.3
2023-08-20,17:30:00,AS Roma,2,2,Salernitana,1.5,3.92,7.59,draw,1.5,3.92,7.59,3.92,-10.0,29.2,-10.0,-10.0,29.2,-10.0,-19.1,-30.8,22.5,4.0,1.6,-33.0,away_win,-10.0,-33.3
2023-08-20,19:45:00,Udinese,0,3,Juventus,3.88,3.29,2.04,away_win,2.04,3.29,3.88,2.04,-10.0,-10.0,10.4,10.4,-10.0,-10.0,-29.1,-40.8,32.9,14.4,-8.4,-43.0,away_win,10.4,-22.9
2023-08-21,17:30:00,Torino,0,0,Cagliari,1.59,3.83,6.24,draw,1.59,3.83,6.24,3.83,-10.0,28.3,-10.0,-10.0,28.3,-10.0,-39.1,-12.5,22.9,4.4,19.9,-53.0,away_win,-10.0,-32.9
2023-08-21,19:45:00,Bologna,0,2,AC Milan,3.78,3.39,2.02,away_win,2.02,3.39,3.78,2.02,-10.0,-10.0,10.2,10.2,-10.0,-10.0,-49.1,-22.5,33.1,14.6,9.9,-63.0,home_win,-10.0,-42.9
