date,time,home_team,home_goals,away_goals,away_team,home_odds,draw_odds,away_odds,result,first_choice_odds,second_choice_odds,third_choice_odds,winning_odds,home_returns,draw_returns,away_returns,first_choice_returns,second_choice_returns,third_choice_returns,home_returns_running_total,draw_returns_running_total,away_returns_running_total,first_choice_returns_running_total,second_choice_returns_running_total,third_choice_returns_running_total,random_choice_1,random_choice_1_returns,random_choice_1_running_balance
2023-07-21,17:00,Warta Poznan,0,1,Pogon Szczecin,3.2,3.23,2.19,away_win,2.19,3.2,3.23,2.19,-10.0,-10.0,11.9,11.9,-10.0,-10.0,-10.0,-10.0,11.9,11.9,-10.0,-10.0,home_win,-10.0,-10.0
2023-07-21,19:30,Legia,3,0,LKS Lodz,1.41,4.49,6.91,home_win,1.41,4.49,6.91,1.41,4.1,-10.0,-10.0,4.1,-10.0,-10.0,-5.9,-20.0,1.9,16.0,-20.0,-20.0,draw,-10.0,-20.0
2023-07-22,16:30,Rakow,3,0,Jagiellonia,1.3,4.94,9.73,home_win,1.3,4.94,9.73,1.3,3.0,-10.0,-10.0,3.0,-10.0,-10.0,-2.9,-30.0,-8.1,19.0,-30.0,-30.0,away_win,-10.0,-30.0
2023-07-22,14:00,Stal Mielec,2,2,Cracovia,3.25,3.1,2.24,draw,2.24,3.1,3.25,3.1,-10.0,21.0,-10.0,-10.0,21.0,-10.0,-12.9,-9.0,-18.1,9.0,-9.0,-40.0,away_win,-10.0,-40.0
2023-07-22,19:00,Piast Gliwice,1,2,Lech Poznan,3.02,2.91,2.45,away_win,2.45,2.91,3.02,2.45,-10.0,-10.0,14.5,14.5,-10.0,-10.0,-22.9,-19.0,-3.6,23.5,-19.0,-50.0,home_win,-10.0,-50.0
2023-07-23,19:00,Widzew Lodz,3,2,Puszcza,1.81,3.48,4.16,home_win,1.81,3.48,4.16,1.81,8.1,-10.0,-10.0,8.1,-10.0,-10.0,-14.8,-29.0,-13.6,31.6,-29.0,-60.0,home_win,8.1,-41.9
2023-07-23,14:00,Gornik Zabrze,0,2,Radomiak Radom,2.59,3.17,2.68,away_win,2.59,2.68,3.17,2.68,-10.0,-10.0,16.8,-10.0,16.8,-10.0,-24.8,-39.0,3.2,21.6,-12.2,-70.0,draw,-10.0,-51.9
2023-07-23,16:30,Zaglebie,2,1,Ruch Chorzow,1.93,3.45,3.71,home_win,1.93,3.45,3.71,1.93,9.3,-10.0,-10.0,9.3,-10.0,-10.0,-15.5,-49.0,-6.8,30.9,-22.2,-80.0,home_win,9.3,-42.6
2023-07-24,18:00,Korona Kielce,1,1,Slask Wroclaw,2.24,3.27,3.08,draw,2.24,3.08,3.27,3.27,-10.0,22.7,-10.0,-10.0,-10.0,22.7,-25.5,-26.3,-16.8,20.9,-32.2,-57.3,home_win,-10.0,-52.6
2023-07-28,19:30,Ruch Chorzow,2,0,LKS Lodz,2.21,3.13,3.3,home_win,2.21,3.13,3.3,2.21,12.1,-10.0,-10.0,12.1,-10.0,-10.0,-13.4,-36.3,-26.8,33.0,-42.2,-67.3,away_win,-10.0,-62.6
2023-07-29,14:00,Warta Poznan,2,0,Gornik Zabrze,2.17,3.03,3.51,home_win,2.17,3.03,3.51,2.17,11.7,-10.0,-10.0,11.7,-10.0,-10.0,-1.7,-46.3,-36.8,44.7,-52.2,-77.3,home_win,11.7,-50.9
2023-07-29,16:30,Jagiellonia,4,1,Puszcza,2.05,3.44,3.38,home_win,2.05,3.38,3.44,2.05,10.5,-10.0,-10.0,10.5,-10.0,-10.0,8.8,-56.3,-46.8,55.2,-62.2,-87.3,away_win,-10.0,-60.9
2023-07-29,19:00,Slask Wroclaw,1,2,Zaglebie,2.57,3.16,2.7,away_win,2.57,2.7,3.16,2.7,-10.0,-10.0,17.0,-10.0,17.0,-10.0,-1.2,-66.3,-29.8,45.2,-45.2,-97.3,home_win,-10.0,-70.9
2023-07-30,14:00,Stal Mielec,0,0,Piast Gliwice,4.62,3.21,1.82,draw,1.82,3.21,4.62,3.21,-10.0,22.1,-10.0,-10.0,22.1,-10.0,-11.2,-44.2,-39.8,35.2,-23.1,-107.3,away_win,-10.0,-80.9
2023-07-30,16:30,Lech Poznan,2,0,Radomiak Radom,1.74,3.5,4.69,home_win,1.74,3.5,4.69,1.74,7.4,-10.0,-10.0,7.4,-10.0,-10.0,-3.8,-54.2,-49.8,42.6,-33.1,-117.3,home_win,7.4,-73.5
2023-07-30,19:00,Pogon Szczecin,2,1,Widzew Lodz,1.69,3.92,4.42,home_win,1.69,3.92,4.42,1.69,6.9,-10.0,-10.0,6.9,-10.0,-10.0,3.1,-64.2,-59.8,49.5,-43.1,-127.3,home_win,6.9,-66.6
2023-08-04,19:30,LKS Lodz,2,1,Korona Kielce,2.22,3.27,3.12,home_win,2.22,3.12,3.27,2.22,12.2,-10.0,-10.0,12.2,-10.0,-10.0,15.3,-74.2,-69.8,61.7,-53.1,-137.3,draw,-10.0,-76.6
2023-08-04,17:00,Jagiellonia,2,1,Widzew Lodz,2.11,3.42,3.19,home_win,2.11,3.19,3.42,2.11,11.1,-10.0,-10.0,11.1,-10.0,-10.0,26.4,-84.2,-79.8,72.8,-63.1,-147.3,away_win,-10.0,-86.6
2023-08-05,14:00,Rakow,2,2,Warta Poznan,1.53,3.69,6.64,draw,1.53,3.69,6.64,3.69,-10.0,26.9,-10.0,-10.0,26.9,-10.0,16.4,-57.3,-89.8,62.8,-36.2,-157.3,draw,26.9,-59.7
2023-08-05,16:30,Gornik Zabrze,0,0,Piast Gliwice,3.95,3.22,1.95,draw,1.95,3.22,3.95,3.22,-10.0,22.2,-10.0,-10.0,22.2,-10.0,6.4,-35.1,-99.8,52.8,-14.0,-167.3,away_win,-10.0,-69.7
2023-08-05,19:00,Radomiak Radom,0,1,Cracovia,2.05,3.19,3.63,away_win,2.05,3.19,3.63,3.63,-10.0,-10.0,26.3,-10.0,-10.0,26.3,-3.6,-45.1,-73.5,42.8,-24.0,-141.0,home_win,-10.0,-79.7
2023-08-06,16:30,Zaglebie,1,1,Lech Poznan,3.67,3.65,1.88,draw,1.88,3.65,3.67,3.65,-10.0,26.5,-10.0,-10.0,26.5,-10.0,-13.6,-18.6,-83.5,32.8,2.5,-151.0,draw,26.5,-53.2
2023-08-06,19:00,Legia,3,0,Ruch Chorzow,1.48,4.2,6.05,home_win,1.48,4.2,6.05,1.48,4.8,-10.0,-10.0,4.8,-10.0,-10.0,-8.8,-28.6,-93.5,37.6,-7.5,-161.0,home_win,4.8,-48.4
2023-08-07,18:00,Puszcza,1,0,Stal Mielec,2.32,3.17,3.02,home_win,2.32,3.02,3.17,2.32,13.2,-10.0,-10.0,13.2,-10.0,-10.0,4.4,-38.6,-103.5,50.8,-17.5,-171.0,away_win,-10.0,-58.4
2023-08-11,19:30,Piast Gliwice,2,1,Rakow,2.99,2.9,2.5,home_win,2.5,2.9,2.99,2.99,19.9,-10.0,-10.0,-10.0,-10.0,19.9,24.3,-48.6,-113.5,40.8,-27.5,-151.1,away_win,-10.0,-68.4
2023-08-11,17:00,Cracovia,2,1,Zaglebie,2.2,3.33,3.08,home_win,2.2,3.08,3.33,2.2,12.0,-10.0,-10.0,12.0,-10.0,-10.0,36.3,-58.6,-123.5,52.8,-37.5,-161.1,draw,-10.0,-78.4
2023-08-12,14:00,Stal Mielec,3,1,Slask Wroclaw,2.93,3.11,2.41,home_win,2.41,2.93,3.11,2.93,19.3,-10.0,-10.0,-10.0,19.3,-10.0,55.6,-68.6,-133.5,42.8,-18.2,-171.1,draw,-10.0,-88.4
2023-08-12,16:30,Korona Kielce,0,1,Gornik Zabrze,2.18,3.26,3.16,away_win,2.18,3.16,3.26,3.16,-10.0,-10.0,21.6,-10.0,21.6,-10.0,45.6,-78.6,-111.9,32.8,3.4,-181.1,draw,-10.0,-98.4
2023-08-12,19:00,Widzew Lodz,1,0,LKS Lodz,2.07,3.28,3.41,home_win,2.07,3.28,3.41,2.07,10.7,-10.0,-10.0,10.7,-10.0,-10.0,56.3,-88.6,-121.9,43.5,-6.6,-191.1,draw,-10.0,-108.4
2023-08-13,14:00,Pogon Szczecin,0,2,Radomiak Radom,1.94,3.5,3.63,away_win,1.94,3.5,3.63,3.63,-10.0,-10.0,26.3,-10.0,-10.0,26.3,46.3,-98.6,-95.6,33.5,-16.6,-164.8,draw,-10.0,-118.4
2023-08-13,16:30,Puszcza,1,1,Legia,5.81,3.96,1.53,draw,1.53,3.96,5.81,3.96,-10.0,29.6,-10.0,-10.0,29.6,-10.0,36.3,-69.0,-105.6,23.5,13.0,-174.8,home_win,-10.0,-128.4
2023-08-14,18:00,Warta Poznan,2,2,Ruch Chorzow,1.8,3.34,4.4,draw,1.8,3.34,4.4,3.34,-10.0,23.4,-10.0,-10.0,23.4,-10.0,26.3,-45.6,-115.6,13.5,36.4,-184.8,away_win,-10.0,-138.4
