date,time,home_team,home_goals,away_goals,away_team,home_odds,draw_odds,away_odds,result,first_choice_odds,second_choice_odds,third_choice_odds,winning_odds,home_returns,draw_returns,away_returns,first_choice_returns,second_choice_returns,third_choice_returns,home_returns_running_total,draw_returns_running_total,away_returns_running_total,first_choice_returns_running_total,second_choice_returns_running_total,third_choice_returns_running_total,random_choice_1,random_choice_1_returns,random_choice_1_running_balance
2023-08-11,20:15,Braga,1,2,Famalicao,1.48,4.4,6.21,away_win,1.48,4.4,6.21,6.21,-10.0,-10.0,52.1,-10.0,-10.0,52.1,-10.0,-10.0,52.1,-10.0,-10.0,52.1,away_win,52.1,52.1
2023-08-12,20:30,Sporting CP,3,2,Vizela,1.19,6.65,14.59,home_win,1.19,6.65,14.59,1.19,1.9,-10.0,-10.0,1.9,-10.0,-10.0,-8.1,-20.0,42.1,-8.1,-20.0,42.1,home_win,1.9,54.0
2023-08-12,15:30,Gil Vicente,5,0,Portimonense,1.84,3.57,4.19,home_win,1.84,3.57,4.19,1.84,8.4,-10.0,-10.0,8.4,-10.0,-10.0,0.3,-30.0,32.1,0.3,-30.0,32.1,draw,-10.0,44.0
2023-08-12,18:00,SC Farense,0,3,Casa Pia,2.45,3.01,3.08,away_win,2.45,3.01,3.08,3.08,-10.0,-10.0,20.8,-10.0,-10.0,20.8,-9.7,-40.0,52.9,-9.7,-40.0,52.9,home_win,-10.0,34.0
2023-08-13,20:30,Arouca,4,3,Estoril,2.0,3.24,3.86,home_win,2.0,3.24,3.86,2.0,10.0,-10.0,-10.0,10.0,-10.0,-10.0,0.3,-50.0,42.9,0.3,-50.0,42.9,away_win,-10.0,24.0
2023-08-13,15:30,Rio Ave,2,0,Chaves,1.9,3.37,4.1,home_win,1.9,3.37,4.1,1.9,9.0,-10.0,-10.0,9.0,-10.0,-10.0,9.3,-60.0,32.9,9.3,-60.0,32.9,home_win,9.0,33.0
2023-08-13,18:00,Estrela,0,1,Vitoria Guimaraes,2.48,3.13,2.9,away_win,2.48,2.9,3.13,2.9,-10.0,-10.0,19.0,-10.0,19.0,-10.0,-0.7,-70.0,51.9,-0.7,-41.0,22.9,home_win,-10.0,23.0
2023-08-14,18:45,Moreirense,1,2,FC Porto,7.93,4.93,1.35,away_win,1.35,4.93,7.93,1.35,-10.0,-10.0,3.5,3.5,-10.0,-10.0,-10.7,-80.0,55.4,2.8,-51.0,12.9,draw,-10.0,13.0
2023-08-14,20:45,Boavista,3,2,Benfica,9.23,5.21,1.31,home_win,1.31,5.21,9.23,9.23,82.3,-10.0,-10.0,-10.0,-10.0,82.3,71.6,-90.0,45.4,-7.2,-61.0,95.2,away_win,-10.0,3.0
2023-08-18,20:15,Casa Pia,1,2,Sporting CP,9.0,4.88,1.34,away_win,1.34,4.88,9.0,1.34,-10.0,-10.0,3.4,3.4,-10.0,-10.0,61.6,-100.0,48.8,-3.8,-71.0,85.2,away_win,3.4,6.4
2023-08-19,18:00,Chaves,2,4,Braga,5.96,4.31,1.51,away_win,1.51,4.31,5.96,1.51,-10.0,-10.0,5.1,5.1,-10.0,-10.0,51.6,-110.0,53.9,1.3,-81.0,75.2,home_win,-10.0,-3.6
2023-08-19,20:30,Portimonense,1,4,Boavista,3.11,3.21,2.33,away_win,2.33,3.11,3.21,2.33,-10.0,-10.0,13.3,13.3,-10.0,-10.0,41.6,-120.0,67.2,14.6,-91.0,65.2,home_win,-10.0,-13.6
2023-08-19,20:30,Benfica,2,0,Estrela,1.14,8.23,18.5,home_win,1.14,8.23,18.5,1.14,1.4,-10.0,-10.0,1.4,-10.0,-10.0,43.0,-130.0,57.2,16.0,-101.0,55.2,away_win,-10.0,-23.6
