date,time,home_team,home_goals,away_goals,away_team,home_odds,draw_odds,away_odds,result,first_choice_odds,second_choice_odds,third_choice_odds,winning_odds,home_returns,draw_returns,away_returns,first_choice_returns,second_choice_returns,third_choice_returns,home_returns_running_total,draw_returns_running_total,away_returns_running_total,first_choice_returns_running_total,second_choice_returns_running_total,third_choice_returns_running_total,random_choice_1,random_choice_1_returns,random_choice_1_running_balance
2023-08-11,18:30:00,Almeria,0,2,Rayo Vallecano,2.6,3.15,2.83,away_win,2.6,2.83,3.15,2.83,-10.0,-10.0,18.3,-10.0,18.3,-10.0,-10.0,-10.0,18.3,-10.0,18.3,-10.0,draw,-10.0,-10.0
2023-08-11,21:00:00,Sevilla,1,2,Valencia,1.92,3.32,4.31,away_win,1.92,3.32,4.31,4.31,-10.0,-10.0,33.1,-10.0,-10.0,33.1,-20.0,-20.0,51.4,-20.0,8.3,23.1,home_win,-10.0,-20.0
2023-08-12,18:30:00,Las Palmas,1,1,Mallorca,2.53,2.85,3.22,draw,2.53,2.85,3.22,2.85,-10.0,18.5,-10.0,-10.0,18.5,-10.0,-30.0,-1.5,41.4,-30.0,26.8,13.1,draw,18.5,-1.5
2023-08-12,16:00:00,Real Sociedad,1,1,Girona,1.79,3.55,4.69,draw,1.79,3.55,4.69,3.55,-10.0,25.5,-10.0,-10.0,25.5,-10.0,-40.0,24.0,31.4,-40.0,52.3,3.1,draw,25.5,24.0
2023-08-12,20:30:00,Ath Bilbao,0,2,Real Madrid,3.23,3.39,2.21,away_win,2.21,3.23,3.39,2.21,-10.0,-10.0,12.1,12.1,-10.0,-10.0,-50.0,14.0,43.5,-27.9,42.3,-6.9,away_win,12.1,36.1
2023-08-13,20:30:00,Getafe,0,0,Barcelona,6.9,3.9,1.53,draw,1.53,3.9,6.9,3.9,-10.0,29.0,-10.0,-10.0,29.0,-10.0,-60.0,43.0,33.5,-37.9,71.3,-16.9,draw,29.0,65.1
2023-08-13,16:00:00,Celta Vigo,0,2,Osasuna,2.08,3.15,3.85,away_win,2.08,3.15,3.85,3.85,-10.0,-10.0,28.5,-10.0,-10.0,28.5,-70.0,33.0,62.0,-47.9,61.3,11.6,home_win,-10.0,55.1
2023-08-13,18:30:00,Villarreal,1,2,Betis,1.72,3.89,4.64,away_win,1.72,3.89,4.64,4.64,-10.0,-10.0,36.4,-10.0,-10.0,36.4,-80.0,23.0,98.4,-57.9,51.3,48.0,home_win,-10.0,45.1
2023-08-14,18:30:00,Cadiz CF,1,0,Alaves,2.25,2.94,3.72,home_win,2.25,2.94,3.72,2.25,12.5,-10.0,-10.0,12.5,-10.0,-10.0,-67.5,13.0,88.4,-45.4,41.3,38.0,home_win,12.5,57.6
2023-08-14,20:30:00,Atl. Madrid,3,1,Granada CF,1.31,5.39,9.59,home_win,1.31,5.39,9.59,1.31,3.1,-10.0,-10.0,3.1,-10.0,-10.0,-64.4,3.0,78.4,-42.3,31.3,28.0,away_win,-10.0,47.6
2023-08-18,18:30:00,Mallorca,0,1,Villarreal,2.72,3.19,2.7,away_win,2.7,2.72,3.19,2.7,-10.0,-10.0,17.0,17.0,-10.0,-10.0,-74.4,-7.0,95.4,-25.3,21.3,18.0,home_win,-10.0,37.6
2023-08-18,20:30:00,Valencia,1,0,Las Palmas,1.59,3.84,6.18,home_win,1.59,3.84,6.18,1.59,5.9,-10.0,-10.0,5.9,-10.0,-10.0,-68.5,-17.0,85.4,-19.4,11.3,8.0,draw,-10.0,27.6
2023-08-19,16:00:00,Real Sociedad,1,1,Celta Vigo,1.68,3.49,5.93,draw,1.68,3.49,5.93,3.49,-10.0,24.9,-10.0,-10.0,24.9,-10.0,-78.5,7.9,75.4,-29.4,36.2,-2.0,home_win,-10.0,17.6
2023-08-19,18:30:00,Almeria,1,3,Real Madrid,7.08,5.04,1.4,away_win,1.4,5.04,7.08,1.4,-10.0,-10.0,4.0,4.0,-10.0,-10.0,-88.5,-2.1,79.4,-25.4,26.2,-12.0,draw,-10.0,7.6
2023-08-19,20:30:00,Osasuna,0,2,Ath Bilbao,2.87,2.95,2.72,away_win,2.72,2.87,2.95,2.72,-10.0,-10.0,17.2,17.2,-10.0,-10.0,-98.5,-12.1,96.6,-8.2,16.2,-22.0,draw,-10.0,-2.4
2023-08-20,18:00:00,Girona,3,0,Getafe,1.93,3.14,4.7,home_win,1.93,3.14,4.7,1.93,9.3,-10.0,-10.0,9.3,-10.0,-10.0,-89.2,-22.1,86.6,1.1,6.2,-32.0,home_win,9.3,6.9
2023-08-20,18:30:00,Barcelona,2,0,Cadiz CF,1.25,5.97,12.2,home_win,1.25,5.97,12.2,1.25,2.5,-10.0,-10.0,2.5,-10.0,-10.0,-86.7,-32.1,76.6,3.6,-3.8,-42.0,away_win,-10.0,-3.1
2023-08-20,20:30:00,Betis,0,0,Atl. Madrid,3.68,3.45,2.04,draw,2.04,3.45,3.68,3.45,-10.0,24.5,-10.0,-10.0,24.5,-10.0,-96.7,-7.6,66.6,-6.4,20.7,-52.0,draw,24.5,21.4
2023-08-21,20:30:00,Granada CF,0,2,Rayo Vallecano,2.81,3.07,2.7,away_win,2.7,2.81,3.07,2.7,-10.0,-10.0,17.0,17.0,-10.0,-10.0,-106.7,-17.6,83.6,10.6,10.7,-62.0,draw,-10.0,11.4
2023-08-21,18:00:00,Alaves,4,3,Sevilla,3.33,3.03,2.37,home_win,2.37,3.03,3.33,3.33,23.3,-10.0,-10.0,-10.0,-10.0,23.3,-83.4,-27.6,73.6,0.6,0.7,-38.7,away_win,-10.0,1.4
2023-08-25,20:30:00,Celta Vigo,0,1,Real Madrid,4.32,3.78,1.8,away_win,1.8,3.78,4.32,1.8,-10.0,-10.0,8.0,8.0,-10.0,-10.0,-93.4,-37.6,81.6,8.6,-9.3,-48.7,draw,-10.0,-8.6
2023-08-25,18:30:00,Las Palmas,0,0,Real Sociedad,4.35,3.26,1.94,draw,1.94,3.26,4.35,3.26,-10.0,22.6,-10.0,-10.0,22.6,-10.0,-103.4,-15.0,71.6,-1.4,13.3,-58.7,away_win,-10.0,-18.6
2023-08-26,18:00:00,Cadiz CF,1,1,Almeria,2.16,3.32,3.51,draw,2.16,3.32,3.51,3.32,-10.0,23.2,-10.0,-10.0,23.2,-10.0,-113.4,8.2,61.6,-11.4,36.5,-68.7,draw,23.2,4.6
2023-08-26,18:30:00,Granada CF,3,2,Mallorca,2.69,2.91,2.96,home_win,2.69,2.91,2.96,2.69,16.9,-10.0,-10.0,16.9,-10.0,-10.0,-96.5,-1.8,51.6,5.5,26.5,-78.7,away_win,-10.0,-5.4
2023-08-26,20:30:00,Sevilla,1,2,Girona,1.93,3.49,4.02,away_win,1.93,3.49,4.02,4.02,-10.0,-10.0,30.2,-10.0,-10.0,30.2,-106.5,-11.8,81.8,-4.5,16.5,-48.5,home_win,-10.0,-15.4
2023-08-27,16:30:00,Villarreal,3,4,Barcelona,3.38,3.66,2.07,away_win,2.07,3.38,3.66,2.07,-10.0,-10.0,10.7,10.7,-10.0,-10.0,-116.5,-21.8,92.5,6.2,6.5,-58.5,draw,-10.0,-25.4
2023-08-27,18:30:00,Valencia,1,2,Osasuna,1.78,3.34,5.17,away_win,1.78,3.34,5.17,5.17,-10.0,-10.0,41.7,-10.0,-10.0,41.7,-126.5,-31.8,134.2,-3.8,-3.5,-16.8,away_win,41.7,16.3
2023-08-27,20:30:00,Ath Bilbao,4,2,Betis,1.93,3.41,4.14,home_win,1.93,3.41,4.14,1.93,9.3,-10.0,-10.0,9.3,-10.0,-10.0,-117.2,-41.8,124.2,5.5,-13.5,-26.8,draw,-10.0,6.3
2023-08-28,18:30:00,Getafe,1,0,Alaves,2.47,2.65,3.71,home_win,2.47,2.65,3.71,2.47,14.7,-10.0,-10.0,14.7,-10.0,-10.0,-102.5,-51.8,114.2,20.2,-23.5,-36.8,draw,-10.0,-3.7
2023-08-28,20:30:00,Rayo Vallecano,0,7,Atl. Madrid,3.98,3.28,2.03,away_win,2.03,3.28,3.98,2.03,-10.0,-10.0,10.3,10.3,-10.0,-10.0,-112.5,-61.8,124.5,30.5,-33.5,-46.8,home_win,-10.0,-13.7
2023-09-01,18:30:00,Cadiz CF,3,1,Villarreal,3.22,3.49,2.2,home_win,2.2,3.22,3.49,3.22,22.2,-10.0,-10.0,-10.0,22.2,-10.0,-90.3,-71.8,114.5,20.5,-11.3,-56.8,away_win,-10.0,-23.7
2023-09-01,21:00:00,Almeria,2,3,Celta Vigo,2.85,3.3,2.5,away_win,2.5,2.85,3.3,2.5,-10.0,-10.0,15.0,15.0,-10.0,-10.0,-100.3,-81.8,129.5,35.5,-21.3,-66.8,home_win,-10.0,-33.7
2023-09-02,13:00:00,Real Sociedad,5,3,Granada CF,1.43,4.5,7.73,home_win,1.43,4.5,7.73,1.43,4.3,-10.0,-10.0,4.3,-10.0,-10.0,-96.0,-91.8,119.5,39.8,-31.3,-76.8,draw,-10.0,-43.7
2023-09-02,15:15:00,Real Madrid,2,1,Getafe,1.34,4.81,10.1,home_win,1.34,4.81,10.1,1.34,3.4,-10.0,-10.0,3.4,-10.0,-10.0,-92.6,-101.8,109.5,43.2,-41.3,-86.8,away_win,-10.0,-53.7
2023-09-02,17:30:00,Alaves,1,0,Valencia,3.17,2.91,2.56,home_win,2.56,2.91,3.17,3.17,21.7,-10.0,-10.0,-10.0,-10.0,21.7,-70.9,-111.8,99.5,33.2,-51.3,-65.1,home_win,21.7,-32.0
2023-09-02,20:00:00,Betis,1,0,Rayo Vallecano,2.03,3.32,3.91,home_win,2.03,3.32,3.91,2.03,10.3,-10.0,-10.0,10.3,-10.0,-10.0,-60.6,-121.8,89.5,43.5,-61.3,-75.1,away_win,-10.0,-42.0
2023-09-03,13:00:00,Girona,1,0,Las Palmas,1.71,3.8,4.99,home_win,1.71,3.8,4.99,1.71,7.1,-10.0,-10.0,7.1,-10.0,-10.0,-53.5,-131.8,79.5,50.6,-71.3,-85.1,away_win,-10.0,-52.0
2023-09-03,15:15:00,Mallorca,0,0,Ath Bilbao,3.09,2.95,2.57,draw,2.57,2.95,3.09,2.95,-10.0,19.5,-10.0,-10.0,19.5,-10.0,-63.5,-112.3,69.5,40.6,-51.8,-95.1,home_win,-10.0,-62.0
2023-09-03,20:00:00,Osasuna,1,2,Barcelona,6.5,4.44,1.5,away_win,1.5,4.44,6.5,1.5,-10.0,-10.0,5.0,5.0,-10.0,-10.0,-73.5,-122.3,74.5,45.6,-61.8,-105.1,draw,-10.0,-72.0
2023-09-15,20:00:00,Rayo Vallecano,2,0,Alaves,2.02,3.15,4.16,home_win,2.02,3.15,4.16,2.02,10.2,-10.0,-10.0,10.2,-10.0,-10.0,-63.3,-132.3,64.5,55.8,-71.8,-115.1,away_win,-10.0,-82.0
2023-09-16,13:00:00,Ath Bilbao,3,0,Cadiz CF,1.56,3.84,6.55,home_win,1.56,3.84,6.55,1.56,5.6,-10.0,-10.0,5.6,-10.0,-10.0,-57.7,-142.3,54.5,61.4,-81.8,-125.1,draw,-10.0,-92.0
2023-09-16,15:15:00,Valencia,3,0,Atl. Madrid,3.43,3.21,2.22,home_win,2.22,3.21,3.43,3.43,24.3,-10.0,-10.0,-10.0,-10.0,24.3,-33.4,-152.3,44.5,51.4,-91.8,-100.8,home_win,24.3,-67.7
2023-09-16,17:30:00,Celta Vigo,0,1,Mallorca,2.03,3.1,4.2,away_win,2.03,3.1,4.2,4.2,-10.0,-10.0,32.0,-10.0,-10.0,32.0,-43.4,-162.3,76.5,41.4,-101.8,-68.8,home_win,-10.0,-77.7
2023-09-16,20:00:00,Barcelona,5,0,Betis,1.29,5.72,9.7,home_win,1.29,5.72,9.7,1.29,2.9,-10.0,-10.0,2.9,-10.0,-10.0,-40.5,-172.3,66.5,44.3,-111.8,-78.8,draw,-10.0,-87.7
2023-09-17,20:00:00,Real Madrid,2,1,Real Sociedad,1.72,3.75,4.87,home_win,1.72,3.75,4.87,1.72,7.2,-10.0,-10.0,7.2,-10.0,-10.0,-33.3,-182.3,56.5,51.5,-121.8,-88.8,home_win,7.2,-80.5
2023-09-17,13:00:00,Getafe,3,2,Osasuna,2.58,2.83,3.2,home_win,2.58,2.83,3.2,2.58,15.8,-10.0,-10.0,15.8,-10.0,-10.0,-17.5,-192.3,46.5,67.3,-131.8,-98.8,home_win,15.8,-64.7
2023-09-17,15:15:00,Villarreal,2,1,Almeria,1.48,4.83,5.86,home_win,1.48,4.83,5.86,1.48,4.8,-10.0,-10.0,4.8,-10.0,-10.0,-12.7,-202.3,36.5,72.1,-141.8,-108.8,home_win,4.8,-59.9
2023-09-17,17:30:00,Sevilla,1,0,Las Palmas,1.57,4.02,6.01,home_win,1.57,4.02,6.01,1.57,5.7,-10.0,-10.0,5.7,-10.0,-10.0,-7.0,-212.3,26.5,77.8,-151.8,-118.8,away_win,-10.0,-69.9
2023-09-18,20:00:00,Granada CF,2,4,Girona,2.83,3.5,2.42,away_win,2.42,2.83,3.5,2.42,-10.0,-10.0,14.2,14.2,-10.0,-10.0,-17.0,-222.3,40.7,92.0,-161.8,-128.8,draw,-10.0,-79.9
2023-09-22,20:00:00,Alaves,0,2,Ath Bilbao,4.18,3.05,2.04,away_win,2.04,3.05,4.18,2.04,-10.0,-10.0,10.4,10.4,-10.0,-10.0,-27.0,-232.3,51.1,102.4,-171.8,-138.8,away_win,10.4,-69.5
2023-09-23,13:00:00,Girona,5,3,Mallorca,1.88,3.29,4.53,home_win,1.88,3.29,4.53,1.88,8.8,-10.0,-10.0,8.8,-10.0,-10.0,-18.2,-242.3,41.1,111.2,-181.8,-148.8,draw,-10.0,-79.5
2023-09-23,15:15:00,Osasuna,0,0,Sevilla,2.34,3.17,3.21,draw,2.34,3.17,3.21,3.17,-10.0,21.7,-10.0,-10.0,21.7,-10.0,-28.2,-220.6,31.1,101.2,-160.1,-158.8,draw,21.7,-57.8
2023-09-23,17:30:00,Barcelona,3,2,Celta Vigo,1.24,6.26,11.7,home_win,1.24,6.26,11.7,1.24,2.4,-10.0,-10.0,2.4,-10.0,-10.0,-25.8,-230.6,21.1,103.6,-170.1,-168.8,away_win,-10.0,-67.8
2023-09-23,20:00:00,Almeria,2,2,Valencia,2.72,3.29,2.58,draw,2.58,2.72,3.29,3.29,-10.0,22.9,-10.0,-10.0,-10.0,22.9,-35.8,-207.7,11.1,93.6,-180.1,-145.9,home_win,-10.0,-77.8
2023-09-24,20:00:00,Atl. Madrid,3,1,Real Madrid,2.77,3.28,2.57,home_win,2.57,2.77,3.28,2.77,17.7,-10.0,-10.0,-10.0,17.7,-10.0,-18.1,-217.7,1.1,83.6,-162.4,-155.9,draw,-10.0,-87.8
2023-09-24,17:30:00,Betis,1,1,Cadiz CF,1.76,3.53,4.77,draw,1.76,3.53,4.77,3.53,-10.0,25.3,-10.0,-10.0,25.3,-10.0,-28.1,-192.4,-8.9,73.6,-137.1,-165.9,home_win,-10.0,-97.8
2023-09-24,17:30:00,Las Palmas,1,0,Granada CF,1.94,3.52,3.88,home_win,1.94,3.52,3.88,1.94,9.4,-10.0,-10.0,9.4,-10.0,-10.0,-18.7,-202.4,-18.9,83.0,-147.1,-175.9,draw,-10.0,-107.8
2023-09-24,13:00:00,Real Sociedad,4,3,Getafe,1.67,3.34,6.52,home_win,1.67,3.34,6.52,1.67,6.7,-10.0,-10.0,6.7,-10.0,-10.0,-12.0,-212.4,-28.9,89.7,-157.1,-185.9,draw,-10.0,-117.8
2023-09-24,15:15:00,Rayo Vallecano,1,1,Villarreal,2.51,3.43,2.71,draw,2.51,2.71,3.43,3.43,-10.0,24.3,-10.0,-10.0,-10.0,24.3,-22.0,-188.1,-38.9,79.7,-167.1,-161.6,home_win,-10.0,-127.8
2023-09-26,20:30:00,Mallorca,2,2,Barcelona,7.14,4.32,1.47,draw,1.47,4.32,7.14,4.32,-10.0,33.2,-10.0,-10.0,33.2,-10.0,-32.0,-154.9,-48.9,69.7,-133.9,-171.6,home_win,-10.0,-137.8
2023-09-26,18:00:00,Sevilla,5,1,Almeria,1.67,3.95,5.06,home_win,1.67,3.95,5.06,1.67,6.7,-10.0,-10.0,6.7,-10.0,-10.0,-25.3,-164.9,-58.9,76.4,-143.9,-181.6,away_win,-10.0,-147.8
2023-09-27,18:00:00,Villarreal,1,2,Girona,2.12,3.64,3.29,away_win,2.12,3.29,3.64,3.29,-10.0,-10.0,22.9,-10.0,22.9,-10.0,-35.3,-174.9,-36.0,66.4,-121.0,-191.6,draw,-10.0,-157.8
2023-09-27,18:00:00,Real Madrid,2,0,Las Palmas,1.16,7.78,17.55,home_win,1.16,7.78,17.55,1.16,1.6,-10.0,-10.0,1.6,-10.0,-10.0,-33.7,-184.9,-46.0,68.0,-131.0,-201.6,away_win,-10.0,-167.8
2023-09-27,18:00:00,Ath Bilbao,2,2,Getafe,1.51,3.97,7.37,draw,1.51,3.97,7.37,3.97,-10.0,29.7,-10.0,-10.0,29.7,-10.0,-43.7,-155.2,-56.0,58.0,-101.3,-211.6,away_win,-10.0,-177.8
2023-09-27,20:30:00,Valencia,0,1,Real Sociedad,2.48,2.99,3.18,away_win,2.48,2.99,3.18,3.18,-10.0,-10.0,21.8,-10.0,-10.0,21.8,-53.7,-165.2,-34.2,48.0,-111.3,-189.8,away_win,21.8,-156.0
2023-09-27,20:30:00,Cadiz CF,0,0,Rayo Vallecano,2.59,3.07,2.94,draw,2.59,2.94,3.07,3.07,-10.0,20.7,-10.0,-10.0,-10.0,20.7,-63.7,-144.5,-44.2,38.0,-121.3,-169.1,draw,20.7,-135.3
2023-09-28,18:00:00,Granada CF,1,1,Betis,2.73,3.38,2.57,draw,2.57,2.73,3.38,3.38,-10.0,23.8,-10.0,-10.0,-10.0,23.8,-73.7,-120.7,-54.2,28.0,-131.3,-145.3,draw,23.8,-111.5
